test_ID,test_file,success_on_attempt_#
000,630-dafny_tmp_tmpz2kokaiq_Solution_no_hints.dfy,1
179,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_11_no_hints.dfy,1
300,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_details_no_hints.dfy,1
569,dafny-synthesis_task_id_472_no_hints.dfy,1
400,cs245-verification_tmp_tmp0h_nxhqp_power_no_hints.dfy,1
166,Dafny_Verify_tmp_tmphq7j0row_Generated_Code_LinearSearch_no_hints.dfy,1
350,SENG2011_tmp_tmpgk5jq85q_ass2_ex2_no_hints.dfy,1
039,Clover_double_quadruple_no_hints.dfy,1
562,dafny-synthesis_task_id_454_no_hints.dfy,1
598,dafny-synthesis_task_id_603_no_hints.dfy,1
199,Dafny_tmp_tmpmvs2dmry_examples1_no_hints.dfy,failed
054,Clover_min_of_two_no_hints.dfy,1
460,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_Bug58_no_hints.dfy,1
656,dafny-synthesis_task_id_95_no_hints.dfy,1
637,dafny-synthesis_task_id_790_no_hints.dfy,1
159,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_error_data_completion_06_n_no_hints.dfy,1
586,dafny-synthesis_task_id_581_no_hints.dfy,1
115,DafnyExercises_tmp_tmpd6qyevja_Part1_Q1_no_hints.dfy,1
453,dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_Intervals_no_hints.dfy,1
731,protocol-verification-fa2023_tmp_tmpw6hy3mjp_demos_ch06_refinement_proof_no_hints.dfy,1
560,dafny-synthesis_task_id_447_no_hints.dfy,1
611,dafny-synthesis_task_id_629_no_hints.dfy,1
466,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_git-issue133_no_hints.dfy,1
197,Dafny_tmp_tmpj88zq5zt_2-Kontrakte_reverse3_no_hints.dfy,1
147,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_ComputePower_no_hints.dfy,1
651,dafny-synthesis_task_id_85_no_hints.dfy,1
015,CVS-Projto1_tmp_tmpb1o0bu8z_fact_no_hints.dfy,1
603,dafny-synthesis_task_id_618_no_hints.dfy,1
753,summer-school-2020_tmp_tmpn8nf7zf0_chapter01_solutions_exercise11_solution_no_hints.dfy,1
609,dafny-synthesis_task_id_626_no_hints.dfy,1
284,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_ProgramProofs_ch15_no_hints.dfy,2
019,CVS-handout1_tmp_tmptm52no3k_2_no_hints.dfy,1
458,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_Bug144_no_hints.dfy,1
042,Clover_has_close_elements_no_hints.dfy,1
255,Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex1_no_hints.dfy,1
163,Dafny_Verify_tmp_tmphq7j0row_Generated_Code_15_no_hints.dfy,1
075,Clover_triple2_no_hints.dfy,1
353,SENG2011_tmp_tmpgk5jq85q_exam_ex2_no_hints.dfy,1
517,dafny-synthesis_task_id_242_no_hints.dfy,1
086,Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseExp_no_hints.dfy,1
240,M2_tmp_tmp2laaavvl_Software Verification_Exercices_Exo7-ComputeSum_no_hints.dfy,1
161,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_error_data_completion_11_no_hints.dfy,1
576,dafny-synthesis_task_id_565_no_hints.dfy,1
177,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_06_n_no_hints.dfy,1
351,SENG2011_tmp_tmpgk5jq85q_ass2_ex3_no_hints.dfy,1
481,dafny-language-server_tmp_tmpkir0kenl_Test_tutorial_maximum_no_hints.dfy,1
500,dafny-synthesis_task_id_135_no_hints.dfy,1
629,dafny-synthesis_task_id_762_no_hints.dfy,1
438,dafny-exercise_tmp_tmpouftptir_zapNegatives_no_hints.dfy,1
169,Dafny_Verify_tmp_tmphq7j0row_Generated_Code_rand_no_hints.dfy,1
695,groupTheory_tmp_tmppmmxvu8h_yair_yair2_no_hints.dfy,1
538,dafny-synthesis_task_id_309_no_hints.dfy,1
718,llm-verified-eval_tmp_tmpd2deqn_i_dafny_3_no_hints.dfy,1
209,Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Exercise3_Increment_Array_no_hints.dfy,1
156,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41_no_hints.dfy,1
026,Clover_array_sum_no_hints.dfy,1
468,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_git-issue41_no_hints.dfy,1
253,MIEIC_mfes_tmp_tmpq3ho7nve_exams_mt2_19_p5_no_hints.dfy,1
117,DafnyPrograms_tmp_tmp74_f9k_c_automaton_no_hints.dfy,1
471,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_git-issue76_no_hints.dfy,1
607,dafny-synthesis_task_id_624_no_hints.dfy,1
631,dafny-synthesis_task_id_769_no_hints.dfy,1
361,SiLemma_tmp_tmpfxtryv2w_utils_no_hints.dfy,1
025,Clover_array_product_no_hints.dfy,1
436,dafny-exercise_tmp_tmpouftptir_prac4_ex2_no_hints.dfy,1
694,groupTheory_tmp_tmppmmxvu8h_tutorial2_no_hints.dfy,1
724,paxos_proof_tmp_tmpxpmiksmt_triggers_no_hints.dfy,1
709,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_docs_DafnyRef_examples_Example-Old3_no_hints.dfy,1
652,dafny-synthesis_task_id_86_no_hints.dfy,1
069,Clover_swap_arith_no_hints.dfy,1
594,dafny-synthesis_task_id_599_no_hints.dfy,1
761,t1_MF_tmp_tmpi_sqie4j_exemplos_colecoes_sequences_ex3_no_hints.dfy,1
